,ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,Location
465,166,Ashland Ave & Wrightwood Ave,Ashland Ave & Wrightwood Ave,15,14,In Service,41.92883,-87.668507,"(41.92883, -87.668507)"
466,245,Clarendon Ave & Junior Ter,Clarendon Ave & Junior Ter,23,23,In Service,41.961004,-87.649603,"(41.961004, -87.649603)"
467,29,Noble St & Milwaukee Ave,1016 N. Noble St,15,14,In Service,41.90068,-87.6626,"(41.90068, -87.6626)"
468,229,Southport Ave & Roscoe St,Southport Ave & Roscoe St,19,18,In Service,41.943739,-87.66402,"(41.943739, -87.66402)"
469,267,Lake Park Ave & 47th St,Lake Park Ave & 47th St,15,14,In Service,41.809443,-87.591875,"(41.809443, -87.591875)"
470,25,Michigan Ave & Pearson St,150 E.Pearson st,23,22,In Service,41.89766,-87.62351,"(41.89766, -87.62351)"
471,251,Clarendon Ave & Leland Ave,Clarendon Ave & Leland Ave,15,13,In Service,41.967968,-87.650001,"(41.967968, -87.650001)"
472,260,Kedzie Ave & Milwaukee Ave,Kedzie Ave & Milwaukee Ave,35,35,In Service,41.929567,-87.707857,"(41.929567, -87.707857)"
473,23,Orleans St & Elm St (*),350 W. Elm st,16,15,In Service,41.902924,-87.637715,"(41.902924, -87.637715)"
474,238,Wolcott (Ravenswood) Ave & Montrose Ave (*),Wolcott (Ravenswood) Ave & Montrose Ave (*),16,15,In Service,41.961406,-87.676169,"(41.961406, -87.676169)"
475,276,California Ave & North Ave,California Ave & North Ave,11,9,In Service,41.91044,-87.6972,"(41.91044, -87.6972)"
476,283,LaSalle St & Jackson Blvd,LaSalle St & Jackson Blvd,35,35,In Service,41.878166,-87.631929,"(41.878166, -87.631929)"
477,219,Damen Ave & Cortland St,Damen Ave & Cortland St,15,15,In Service,41.915972,-87.677652,"(41.915972, -87.677652)"
478,257,Lincoln Ave & Waveland Ave,Lincoln Ave & Waveland Ave,15,15,In Service,41.948797,-87.675278,"(41.948797, -87.675278)"
479,330,Lincoln Ave & Addison St,Lincoln Ave & Addison St,19,19,In Service,41.946176,-87.673308,"(41.946176, -87.673308)"
480,403,Wentworth Ave & 33rd St,Wentworth Ave & 33rd St,15,15,In Service,41.834529886,-87.631822981,"(41.83452988563, -87.6318229814)"
481,44,State St & Randolph St,State St & Randolph St,27,27,In Service,41.884730201,-87.627733569,"(41.8847302006, -87.6277335692)"
482,43,Michigan Ave & Washington St,120 N Michigan,43,40,In Service,41.883892766,-87.624649141,"(41.8838927658, -87.6246491409)"
483,291,Wells St & Evergreen Ave,Wells St & Evergreen Ave,19,19,In Service,41.906724,-87.63483,"(41.906724, -87.63483)"
484,428,Dorchester Ave & 63rd St,Dorchester Ave & 63rd St,11,11,In Service,41.780405646,-87.591415989,"(41.7804056457, -87.5914159893)"
485,434,Ogden Ave & Roosevelt Rd,Ogden Ave & Roosevelt Rd,18,18,In Service,41.866501483,-87.68469707,"(41.86650148316, -87.68469707)"
486,422,DuSable Museum,DuSable Museum,11,11,In Service,41.791568011,-87.607852177,"(41.79156801058, -87.6078521774)"
487,352,Jeffery Blvd & 67th St,Jeffery Blvd & 67th St,11,11,In Service,41.773517551,-87.577142826,"(41.77351755125, -87.5771428255)"
488,41,Federal St & Polk St,Federal St & Polk St,19,18,In Service,41.872077633,-87.629543773,"(41.87207763285, -87.6295437729)"
489,353,Clark St & Touhy Ave,Clark St & Touhy Ave,15,15,In Service,42.012560115,-87.674367115,"(42.01256011541, -87.6743671152)"
490,312,Clarendon Ave & Gordon Ter,Clarendon Ave & Gordon Ter,15,15,In Service,41.957879,-87.649519,"(41.957879, -87.649519)"
491,519,Wolcott Ave & Fargo Ave,Wolcott Ave & Fargo Ave,11,11,In Service,42.016977,-87.677725,"(42.016977, -87.677725)"
492,62,McCormick Place,2253 S Dr Martin Luther King Jr Dr,27,27,In Service,41.851375173,-87.618834649,"(41.8513751729, -87.6188346489)"
493,46,Wells St & Walton St,932 N Wells St,19,19,In Service,41.89993001,-87.63443007,"(41.89993001, -87.63443007)"
494,69,Damen Ave & Pierce Ave,2002 W Pierce Ave,23,22,In Service,41.909396007,-87.677691929,"(41.9093960065, -87.6776919292)"
495,597,Chicago Ave & Washington St,Chicago Ave & Washington St,15,15,In Service,42.032562,-87.679101,"(42.032562, -87.679101)"
496,77,Clinton St & Madison St,5 N Clinton St,31,27,In Service,41.882242,-87.641066,"(41.882242, -87.641066)"
497,549,Marshfield Ave & 44th St,Marshfield Ave & 44th St,11,10,In Service,41.813996,-87.666589,"(41.813996, -87.666589)"
498,510,Spaulding Ave & Division St,Spaulding Ave & Division St,11,11,In Service,41.902706594,-87.709219571,"(41.90270659438, -87.709219571)"
499,505,Winchester Ave & Elston Ave,Winchester Ave & Elston Ave,15,14,In Service,41.92409085,-87.676460075,"(41.92409085038, -87.6764600747)"
500,140,Dearborn Pkwy & Delaware Pl,Dearborn Pkwy & Delaware Pl,19,19,In Service,41.898969,-87.629912,"(41.898969, -87.629912)"
501,19,Loomis St & Taylor St (*),Loomis St & Taylor St (*),16,16,In Service,41.868968,-87.659141,"(41.868968, -87.659141)"
502,180,Ritchie Ct & Banks St,Ritchie Ct & Banks St,15,15,In Service,41.906866,-87.626217,"(41.906866, -87.626217)"
503,93,Sheffield Ave & Willow St,1740 N Sheffield Ave,15,14,In Service,41.913688,-87.652855,"(41.913688, -87.652855)"
504,145,Mies van der Rohe Way & Chestnut St,Mies van der Rohe Way & Chestnut St,19,18,In Service,41.898586651,-87.621915226,"(41.8985866514, -87.6219152258)"
505,327,Sheffield Ave & Webster Ave,Sheffield Ave & Webster Ave,19,19,In Service,41.92154,-87.653818,"(41.92154, -87.653818)"
506,252,Greenwood Ave & 47th St,Greenwood Ave & 47th St,15,14,In Service,41.809835,-87.599383,"(41.809835, -87.599383)"
507,277,Ashland Ave & Grand Ave,Off Street,15,14,In Service,41.891072,-87.666611,"(41.891072, -87.666611)"
508,45,Michigan Ave & Congress Pkwy,420 w. Michigan,15,14,In Service,41.876243,-87.624426,"(41.876243, -87.624426)"
509,448,Warren Park East,Warren Park East,11,11,In Service,42.004549622,-87.680666145,"(42.00454962194, -87.6806661451)"
510,376,Artesian Ave & Hubbard St,Artesian Ave & Hubbard St,35,35,In Service,41.88949182,-87.688219365,"(41.88949181977, -87.6882193648)"
511,487,California Ave & Byron St,California Ave & Byron St,19,19,In Service,41.952162193,-87.698051113,"(41.95216219326, -87.698051113)"
512,68,Clinton St & Tilden St,520 W Tilden St,23,22,In Service,41.875885,-87.640795,"(41.875885, -87.640795)"
513,479,Drake Ave & Montrose Ave,Drake Ave & Montrose Ave,15,15,In Service,41.961154076,-87.716569073,"(41.96115407569, -87.7165690733)"
514,580,Exchange Ave & 79th St,Exchange Ave & 79th St,11,11,In Service,41.751731,-87.552812,"(41.751731, -87.552812)"
515,475,Washtenaw Ave & Lawrence Ave,Washtenaw Ave & Lawrence Ave,15,15,In Service,41.968987,-87.696027,"(41.968987, -87.696027)"
516,290,Kedzie Ave & Palmer Ct,Kedzie Ave & Palmer Ct,15,15,In Service,41.921525,-87.707322,"(41.921525, -87.707322)"
517,305,Western Ave & Division St,Western Ave & Division St,22,21,In Service,41.902893,-87.687275,"(41.902893, -87.687275)"
518,465,Marine Dr & Ainslie St,Marine Dr & Ainslie St,23,20,In Service,41.9716,-87.650154,"(41.9716, -87.650154)"
519,484,Monticello Ave & Irving Park Rd,Monticello Ave & Irving Park Rd,15,14,In Service,41.954004839,-87.71912818,"(41.95400483876, -87.7191281797)"
520,144,Larrabee St & Webster Ave,Larrabee St & Webster Ave,19,18,In Service,41.921822,-87.64414,"(41.921822, -87.64414)"
521,72,Wabash Ave & 16th St,1590 S Wabash Ave,39,39,In Service,41.860384,-87.625813,"(41.860384, -87.625813)"
522,190,Southport Ave & Wrightwood Ave,Southport Ave & Wrightwood Ave,15,15,In Service,41.928773,-87.663913,"(41.928773, -87.663913)"
523,211,St. Clair St & Erie St,St. Clair St & Erie St,19,18,In Service,41.894448,-87.622663,"(41.894448, -87.622663)"
524,507,Humboldt Blvd & Armitage Ave,Humboldt Blvd & Armitage Ave,19,19,In Service,41.917513394,-87.701808955,"(41.91751339399, -87.7018089555)"
525,90,Millennium Park,33 S Michigan Ave,47,44,In Service,41.8810317,-87.62408432,"(41.8810317, -87.62408432)"
526,98,LaSalle St & Washington St,LaSalle St & Washington St,15,14,In Service,41.882664,-87.63253,"(41.882664, -87.63253)"
527,92,Carpenter St & Huron St,Carpenter St & Huron St,19,18,In Service,41.894556,-87.653449,"(41.894556, -87.653449)"
528,157,Lake Shore Dr & Wellington Ave,Lake Shore Dr & Wellington Ave,15,14,In Service,41.936669,-87.636794,"(41.936669, -87.636794)"
529,163,Damen Ave & Clybourn Ave,Damen Ave & Clybourn Ave,15,15,In Service,41.931931,-87.677856,"(41.931931, -87.677856)"
530,302,Sheffield Ave & Wrightwood Ave,Sheffield Ave & Wrightwood Ave,31,31,In Service,41.928712,-87.653833,"(41.928712, -87.653833)"
531,153,Southport Ave & Wellington Ave,Southport Ave & Wellington Ave,19,19,In Service,41.935733,-87.663576,"(41.935733, -87.663576)"
532,255,Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,39,38,In Service,41.867888,-87.623041,"(41.867888, -87.623041)"
533,463,Clark St & Berwyn Ave,Clark St & Berwyn Ave,19,18,In Service,41.977996654,-87.668047105,"(41.9779966544, -87.6680471047)"
534,154,Southport Ave & Belmont Ave,Southport Ave & Belmont Ave,14,14,In Service,41.93949,-87.66378,"(41.93949, -87.66378)"
535,5,State St & Harrison St,620 S. State St.,23,19,In Service,41.874053,-87.627716,"(41.874053, -87.627716)"
536,52,Michigan Ave & Lake St,203 N Michigan Ave,35,35,In Service,41.886024,-87.624117,"(41.886024, -87.624117)"
537,596,Benson Ave & Church St,Benson Ave & Church St,15,14,In Service,42.048214,-87.683485,"(42.048214, -87.683485)"
538,378,California Ave & Lake St,California Ave & Lake St,11,11,In Service,41.884453957,-87.696298137,"(41.88445395657, -87.6962981368)"
539,240,Sheridan Rd & Irving Park Rd,Sheridan Rd & Irving Park Rd,27,26,In Service,41.954245,-87.654406,"(41.954245, -87.654406)"
540,259,California Ave & Francis Pl,California Ave & Francis Pl,15,15,In Service,41.918121,-87.696972,"(41.918121, -87.696972)"
541,303,Broadway & Cornelia Ave,Broadway & Cornelia Ave,23,23,In Service,41.945529,-87.646439,"(41.945529, -87.646439)"
542,169,Canal St & Harrison St,Canal St & Harrison St,15,14,In Service,41.874255,-87.639573,"(41.874255, -87.639573)"
543,165,Clark St & Grace St,Clark St & Grace St,23,22,In Service,41.95078,-87.659172,"(41.95078, -87.659172)"
544,159,Claremont Ave & Hirsch St,1451 N Claremont Ave,11,11,In Service,41.907781,-87.685854,"(41.907781, -87.685854)"
545,264,Stetson Ave & South Water St,Stetson Ave & South Water St,19,19,In Service,41.886835,-87.62232,"(41.886835, -87.62232)"
546,216,California Ave & Division St,California Ave & Division St,15,14,In Service,41.903029,-87.697474,"(41.903029, -87.697474)"
547,51,Clark St & Randolph St,120 W. Randolph St.,39,38,In Service,41.884576228,-87.63188991,"(41.884576228, -87.63188991)"
548,373,Kedzie Ave & Chicago Ave,Kedzie Ave & Chicago Ave,11,10,In Service,41.895465303,-87.706127884,"(41.89546530305, -87.7061278837)"
549,33,State St & Van Buren St,360 S State St,27,26,In Service,41.877181,-87.627844,"(41.877181, -87.627844)"
550,314,Ravenswood Ave & Berteau Ave,Ravenswood Ave & Berteau Ave,15,15,In Service,41.957921,-87.673567,"(41.957921, -87.673567)"
