,SYSTEMSTOP,OBJECTID,the_geom,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAM,Longitude,Latitude
9017,2563,9621,POINT (-87.60616916599997 41.78578931999999),COTTAGE GROVE,60TH STREET,SB,FS,4,N4,CHICAGO,1,Cottage Grove & 60th Street,-87.60616917,41.78578932
9018,5773,9622,POINT (-87.64860694499998 41.91828709800001),HALSTED,ARMITAGE,SB,NS,8,,CHICAGO,1,Halsted & Armitage,-87.64860695,41.9182871
9019,4485,9623,POINT (-87.67758766600002 41.830535913999995),ARCHER,35TH STREET/HOYNE,SWB,NS,"50,62",N62,CHICAGO,1,Archer & 35th Street/Hoyne,-87.67758767,41.83053591
9020,11124,9624,POINT (-87.71359000000001 41.97388999999998),KIMBALL,CARMEN (north leg),SB,MT,"82,93",,CHICAGO,1,Kimball & Carmen,-87.71359,41.97389
9021,5770,9625,POINT (-87.64886118999999 41.925683918000004),HALSTED,LINCOLN/FULLERTON,SB,NS,8,,CHICAGO,1,Halsted & Lincoln/Fullerton,-87.64886119,41.92568392
9022,1179,9626,POINT (-87.65475358499998 41.96924988699999),SHERIDAN,LAWRENCE,NB,FS,151,,CHICAGO,1,Sheridan & Lawrence,-87.65475359,41.96924989
9023,16012,9627,POINT (-87.705022526 41.84650702900001),KEDZIE,25TH STREET,NB,FS,52,,CHICAGO,1,Kedzie & 25th Street,-87.70502253,41.84650703
9024,794,9628,POINT (-87.691600273 41.8923868),GRAND,ROCKWELL,WB,NS,65,,CHICAGO,1,Grand & Rockwell,-87.69160027,41.8923868
9025,9313,9629,POINT (-87.71487204499999 41.939305515),BELMONT,ST. LOUIS,WB,NT,77,N77,CHICAGO,1,Belmont & St. Louis,-87.71487205,41.93930552
9026,11502,9630,POINT (-87.73287192499998 41.990201684),PETERSON,SAUGANASH,WB,NS,84,,CHICAGO,1,Peterson & Sauganash,-87.73287193,41.99020168
9027,14230,9631,POINT (-87.68178197700001 42.064189489),CENTRAL STREET,SHERMAN,WB,FT,201,,EVANSTON,2,Central Street & Sherman,-87.68178198,42.06418949
9028,15435,9632,POINT (-87.69954622199998 41.827315924000004),36TH PLACE,SACRAMENTO,WB,NS,35,,CHICAGO,1,36th Place & Sacramento,-87.69954622,41.82731592
9029,4826,9633,POINT (-87.724499191 41.97558298000001),FOSTER,AVERS,WB,MT,92,,CHICAGO,1,Foster & Avers,-87.72449919,41.97558298
9030,8307,9634,POINT (-87.68263575700001 41.75073302800001),79TH & WESTERN,TERMINAL (North bay),WB,TERM,"49,X49",N49,CHICAGO,1,79th & Western Terminal,-87.68263576,41.75073303
9031,1984,9635,POINT (-87.73994300999999 41.90241438800001),DIVISION,KOLMAR,EB,NS,70,,CHICAGO,1,Division & Kolmar,-87.73994301,41.90241439
9032,1639,9636,POINT (-87.601094789 41.802262455999994),E HYDE PARK,ELLIS (east leg),EB,FS,"2,15",,CHICAGO,1,E Hyde Park & Ellis,-87.60109479,41.80226246
9033,12454,9637,POINT (-87.63961646400003 41.67778465800001),119TH STREET,UNION,EB,NS,119,,CHICAGO,1,119th Street & Union,-87.63961646,41.67778466
