,Latitude,Longitude,Type
362,41.85381,-87.665897,Divvy
363,41.917741,-87.691392,Divvy
364,41.81409271,-87.597005148,Divvy
365,41.802406,-87.586924,Divvy
366,41.794300621,-87.601449773,Divvy
367,41.93588,-87.67842,Divvy
368,41.857813,-87.62455,Divvy
369,41.932225,-87.658617,Divvy
370,41.861894,-87.693511,Divvy
371,42.001785,-87.688829,Divvy
372,41.990887,-87.669758,Divvy
373,41.879344373,-87.631985221,Divvy
374,41.984044611,-87.660273829,Divvy
375,41.989742511,-87.660140621,Divvy
376,41.975614805,-87.679459039,Divvy
377,41.830696113,-87.655975912,Divvy
378,42.00104378,-87.661198243,Divvy
379,41.983593,-87.669154,Divvy
380,41.849109692,-87.695139807,Divvy
381,41.999251822,-87.671377339,Divvy
382,41.852619,-87.626488,Divvy
383,41.939408,-87.723574,Divvy
384,41.92556258,-87.65840426,Divvy
385,41.916017,-87.668879,Divvy
386,41.948818,-87.74002,Divvy
387,41.768938,-87.652934,Divvy
388,41.823613,-87.650931,Divvy
389,41.909656876,-87.716631952,Divvy
390,41.82879202,-87.680604459,Divvy
391,41.886349063,-87.617516547,Divvy
392,42.019159,-87.673573,Divvy
393,41.939398,-87.711561,Divvy
394,41.960631,-87.745359,Divvy
395,41.929465,-87.684158,Divvy
396,41.936496822,-87.647538658,Divvy
397,41.877245,-87.639366,Divvy
398,41.973255,-87.6697,Divvy
399,41.885483308,-87.652304856,Divvy
400,41.903222,-87.634324,Divvy
401,41.965221,-87.658139,Divvy
402,41.902308701,-87.627690528,Divvy
403,41.893626,-87.641527,Divvy
404,41.884241,-87.629634,Divvy
405,41.866095,-87.607267,Divvy
406,41.929143,-87.649077,Divvy
407,41.880958,-87.616743,Divvy
408,41.87772613,-87.65478743,Divvy
409,41.877707956,-87.635321141,Divvy
410,41.891578,-87.648384,Divvy
411,41.954340852,-87.686079624,Divvy
412,41.897764,-87.642884,Divvy
413,41.890173,-87.626185,Divvy
414,41.895769,-87.67722,Divvy
415,41.88461619,-87.644570585,Divvy
416,41.88338,-87.64117,Divvy
417,41.932418,-87.652705,Divvy
418,41.9406,-87.6785,Divvy
419,41.967094,-87.679028,Divvy
420,41.936083,-87.669807,Divvy
421,41.920082,-87.677855,Divvy
422,41.896544,-87.630931,Divvy
423,41.80183164,-87.645213904,Divvy
424,41.792929646,-87.644990057,Divvy
425,41.793242,-87.587782,Divvy
426,41.844475014,-87.702013013,Divvy
427,42.021019,-87.665086,Divvy
428,41.914026713,-87.705126462,Divvy
429,41.823015238,-87.626568018,Divvy
430,41.8481,-87.715068,Divvy
431,41.872131,-87.746619,Divvy
432,41.945243568,-87.706649901,Divvy
433,41.866624,-87.694521,Divvy
434,41.751785,-87.578496,Divvy
435,41.92533,-87.6658,Divvy
436,41.966555,-87.688487,Divvy
437,41.830661,-87.647172,Divvy
438,41.94334,-87.67097,Divvy
439,41.979762,-87.67753,Divvy
440,41.894722,-87.634362,Divvy
441,41.867117783,-87.641087959,Divvy
442,41.878287,-87.643909,Divvy
443,41.773458499,-87.585339739,Divvy
444,41.799494294,-87.586449896,Divvy
445,42.007971923,-87.665502394,Divvy
446,41.894666,-87.638437,Divvy
447,41.928887,-87.658971,Divvy
448,41.885637,-87.641823,Divvy
449,41.924398819,-87.715441036,Divvy
450,41.917183752,-87.710356652,Divvy
451,41.787942813,-87.58831517,Divvy
452,41.949275,-87.646303,Divvy
453,41.937725,-87.644095,Divvy
454,41.912133,-87.634656,Divvy
455,41.87785,-87.62408,Divvy
