,STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Latitude,Longitude
231,30172,O'Hare (Forest Pk-bound),O'Hare,40890,True,False,True,False,False,False,False,False,False,False,"(41.97766526, -87.90422307)",41.97766526,-87.90422307
232,30171,O'Hare (Terminal Arrival),O'Hare,40890,True,False,True,False,False,False,False,False,False,False,"(41.97766526, -87.90422307)",41.97766526,-87.90422307
233,30254,Paulina (Loop-bound),Paulina,41310,True,False,False,False,True,False,False,False,False,False,"(41.943623, -87.670907)",41.943623,-87.670907
234,30253,Paulina (Kimball-bound),Paulina,41310,True,False,False,False,True,False,False,False,False,False,"(41.943623, -87.670907)",41.943623,-87.670907
235,30200,Polk (54th/Cermak-bound),Polk,41030,True,False,False,False,False,False,False,False,True,False,"(41.871551, -87.66953)",41.871551,-87.66953
236,30199,Polk (Loop-bound),Polk,41030,True,False,False,False,False,False,False,False,True,False,"(41.871551, -87.66953)",41.871551,-87.66953
237,30028,Pulaski (Loop-bound),Pulaski,40150,True,False,False,False,False,False,False,False,True,False,"(41.853732, -87.724311)",41.853732,-87.724311
238,30185,Pulaski (Loop-bound),Pulaski,40960,True,False,False,False,False,False,False,False,False,True,"(41.799756, -87.724493)",41.799756,-87.724493
239,30186,Pulaski (Midway-bound),Pulaski,40960,True,False,False,False,False,False,False,False,False,True,"(41.799756, -87.724493)",41.799756,-87.724493
240,30029,Pulaski (54th/Cermak-bound),Pulaski,40150,True,False,False,False,False,False,False,False,True,False,"(41.853732, -87.724311)",41.853732,-87.724311
241,30180,Pulaski (Forest Pk-bound),Pulaski,40920,False,False,True,False,False,False,False,False,False,False,"(41.873797, -87.725663)",41.873797,-87.725663
242,30179,Pulaski (O'Hare-bound),Pulaski,40920,False,False,True,False,False,False,False,False,False,False,"(41.873797, -87.725663)",41.873797,-87.725663
243,30005,Pulaski (63rd-bound),Pulaski,40030,True,False,False,True,False,False,False,False,False,False,"(41.885412, -87.725404)",41.885412,-87.725404
244,30006,Pulaski (Harlem-bound),Pulaski,40030,True,False,False,True,False,False,False,False,False,False,"(41.885412, -87.725404)",41.885412,-87.725404
245,30007,Quincy/Wells (Inner Loop),Quincy/Wells,40040,False,False,False,False,False,False,True,False,True,True,"(41.878723, -87.63374)",41.878723,-87.63374
246,30008,Quincy/Wells (Outer Loop),Quincy/Wells,40040,False,False,False,False,True,False,False,False,False,False,"(41.878723, -87.63374)",41.878723,-87.63374
247,30093,Racine (Forest Pk-bound),Racine,40470,False,False,True,False,False,False,False,False,False,False,"(41.87592, -87.659458)",41.87592,-87.659458
248,30092,Racine (O'Hare-bound),Racine,40470,False,False,True,False,False,False,False,False,False,False,"(41.87592, -87.659458)",41.87592,-87.659458
249,30120,Ridgeland (Harlem-bound),Ridgeland,40610,False,False,False,True,False,False,False,False,False,False,"(41.887159, -87.783661)",41.887159,-87.783661
250,30119,Ridgeland (63rd-bound),Ridgeland,40610,False,False,False,True,False,False,False,False,False,False,"(41.887159, -87.783661)",41.887159,-87.783661
251,30196,Rockwell (Loop-bound),Rockwell,41010,True,False,False,False,True,False,False,False,False,False,"(41.966115, -87.6941)",41.966115,-87.6941
252,30195,Rockwell (Kimball-bound),Rockwell,41010,True,False,False,False,True,False,False,False,False,False,"(41.966115, -87.6941)",41.966115,-87.6941
