,RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical,F12,F13,LOCATION
3185,2355,4128 N Clarendon Ave,46,3,Uptown,3,41.956657,-87.649905,1,41.956657,-87.649905,"(41.956657, -87.649905)"
3186,49,413 N Milwaukee Ave,27,24,West Town,1,41.889376,-87.644668,0,41.889376,-87.644668,"(41.889376, -87.644668)"
3187,5223,4131 N Sheridan Rd,46,3,Uptown,1,41.957503,-87.654446,1,41.957503,-87.654446,"(41.957503, -87.654446)"
3188,3047,4131 W Irving Park Rd,39,16,Irving Park,2,41.95353,-87.729914,1,41.95353,-87.729914,"(41.953530, -87.729914)"
3189,4924,4134 S State St,3,38,Grand Boulevard,1,41.819067,-87.626417,1,41.819067,-87.626417,"(41.819067, -87.626417)"
3190,4312,4135 W Armitage Ave,30,20,Hermosa,1,41.917026,-87.730403,1,41.917026,-87.730403,"(41.917026, -87.730403)"
3191,2260,4136 S California Ave,14,58,Brighton Park,3,41.818845,-87.694711,1,41.818845,-87.694711,"(41.818845, -87.694711)"
3192,4631,4137 N Broadway St,46,3,Uptown,2,41.957488,-87.652164,1,41.957488,-87.652164,"(41.957488, -87.652164)"
3193,1258,4138 N Milwaukee Ave,45,15,Portage Park,1,41.956136,-87.750782,0,41.956136,-87.750782,"(41.956136, -87.750782)"
3194,3124,4139 N Kolmar Ave,38,16,Irving Park,1,41.955861,-87.74163,1,41.955861,-87.74163,"(41.955861, -87.741630)"
3195,128,4140 N Lincoln Ave,47,5,North Center,2,41.956977,-87.680935,0,41.956977,-87.680935,"(41.956977, -87.680935)"
3196,1993,4140 W Addison St,38,16,Irving Park,2,41.946456,-87.730842,1,41.946456,-87.730842,"(41.946456, -87.730842)"
3197,6350,4145 N Lincoln Ave,47,5,North Center,1,41.957143,-87.680642,1,41.957143,-87.680642,"(41.957143, -87.680642)"
3198,4303,4149 W Armitage Ave,30,20,Hermosa,1,41.916999,-87.730592,1,41.916999,-87.730592,"(41.916999, -87.730592)"
3199,6380,415 N LaSalle Dr,42,8,Near North Side,1,41.889677,-87.632364,1,41.889677,-87.632364,"(41.889677, -87.632364)"
3200,6126,415 S Dearborn St,2,32,Loop,1,41.876639,-87.629062,1,41.876639,-87.629062,"(41.876639, -87.629062)"
3201,4616,415 S Wabash Ave,2,32,Loop,0,41.876724,-87.625862,1,41.876724,-87.625862,"(41.876724, -87.625862)"
3202,6246,4150 W 26th St,22,30,South Lawndale,1,41.844265,-87.728103,1,41.844265,-87.728103,"(41.844265, -87.728103)"
3203,3657,4150 W Peterson Ave,39,12,Forest Glen,3,41.990214,-87.733479,1,41.990214,-87.733479,"(41.990214, -87.733479)"
3204,890,4151 N Broadway St,46,3,Uptown,1,41.957615,-87.652244,0,41.957615,-87.652244,"(41.957615, -87.652244)"
3205,6002,4151 W Madison St,28,26,West Garfield Park,1,41.880545,-87.729352,1,41.880545,-87.729352,"(41.880545, -87.729352)"
3206,3341,4152 W Madison St,28,26,West Garfield Park,1,41.880814,-87.729395,1,41.880814,-87.729395,"(41.880814, -87.729395)"
3207,4108,4153 N Western Ave,47,5,North Center,1,41.957502,-87.688379,1,41.957502,-87.688379,"(41.957502, -87.688379)"
3208,7325,4156 W 63rd St,13,65,West Lawn,1,41.778761,-87.726892,0,41.778761,-87.726892,"(41.778761, -87.726892)"
3209,4544,4159 N Western Ave,47,5,North Center,1,41.957795,-87.688439,1,41.957795,-87.688439,"(41.957795, -87.688439)"
3210,6064,4160 N Lincoln Ave,47,5,North Center,1,41.957198,-87.681085,1,41.957198,-87.681085,"(41.957198, -87.681085)"
3211,6133,417 S Dearborn St,2,32,Loop,1,41.876619,-87.629061,1,41.876619,-87.629061,"(41.876619, -87.629061)"
3212,3389,418 S Michigan Ave,2,32,Loop,1,41.876686,-87.624554,1,41.876686,-87.624554,"(41.876686, -87.624554)"
3213,6459,418 S Wabash Ave,2,32,Loop,1,41.876658,-87.626225,0,41.876658,-87.626225,"(41.876658, -87.626225)"
3214,2225,4182 N Broadway St,46,3,Uptown,2,41.958176,-87.653022,1,41.958176,-87.653022,"(41.958176, -87.653022)"
3215,2353,4183 N Clarendon Ave,46,3,Uptown,3,41.958063,-87.649565,1,41.958063,-87.649565,"(41.958063, -87.649565)"
3216,7256,4192 S Archer Ave,14,58,Brighton Park,1,41.817353,-87.699199,0,41.817353,-87.699199,"(41.817353, -87.699199)"
3217,4571,4195 S Archer Ave,14,58,Brighton Park,1,41.817111,-87.699023,1,41.817111,-87.699023,"(41.817111, -87.699023)"
3218,3377,420 E McFetridge Dr,2,33,Near South Side,2,41.865141,-87.617506,1,41.865141,-87.617506,"(41.865141, -87.617506)"
3219,2052,420 N Artesian Ave,27,24,West Town,1,41.889366,-87.688044,1,41.889366,-87.688044,"(41.889366, -87.688044)"
3220,6974,420 S Pulaski Rd,24,26,West Garfield Park,1,41.875061,-87.725632,0,41.875061,-87.725632,"(41.875061, -87.725632)"
3221,2582,420 W Diversey Pky,44,6,Lake View,2,41.93298,-87.639722,1,41.93298,-87.639722,"(41.932980, -87.639722)"
3222,6348,4200 N Lincoln Ave,47,5,North Center,1,41.957842,-87.681475,1,41.957842,-87.681475,"(41.957842, -87.681475)"
3223,4706,4200 N Oak Park Ave,38,17,Dunning,2,41.957256,-87.79779,1,41.957256,-87.79779,"(41.957256, -87.797790)"
3224,2062,4200 S Ashland Ave,12,61,New City,1,41.817615,-87.665268,1,41.817615,-87.665268,"(41.817615, -87.665268)"
3225,1330,4200 W 115th St,19,74,Mount Greenwood,1,41.683947,-87.724968,1,41.683947,-87.724968,"(41.683947, -87.724968)"
3226,1363,4200 W 26th St,22,30,South Lawndale,1,41.84429,-87.729567,1,41.84429,-87.729567,"(41.844290, -87.729567)"
3227,3256,4200 W Lawrence Ave,39,14,Albany Park,2,41.968272,-87.733107,1,41.968272,-87.733107,"(41.968272, -87.733107)"
3228,5346,4200 W Lawrence Ave,39,14,Albany Park,1,41.968272,-87.733107,1,41.968272,-87.733107,"(41.968272, -87.733107)"
3229,3562,4200 W North Ave,30,23,Humboldt Park,1,41.909905,-87.731532,1,41.909905,-87.731532,"(41.909905, -87.731532)"
3230,4741,4201 W 55th St,13,62,West Elsdon,2,41.79304,-87.728214,1,41.79304,-87.728214,"(41.793040, -87.728214)"
3231,5203,4201 W 55th St,13,62,West Elsdon,2,41.79304,-87.728214,1,41.79304,-87.728214,"(41.793040, -87.728214)"
3232,6592,4201 W 55th St,13,62,West Elsdon,1,41.79304,-87.728214,0,41.79304,-87.728214,"(41.793040, -87.728214)"
3233,2985,4201 W Henderson St,30,16,Irving Park,1,41.941612,-87.732372,1,41.941612,-87.732372,"(41.941612, -87.732372)"
3234,3248,4201 W Lawrence Ave,39,14,Albany Park,2,41.968084,-87.733107,1,41.968084,-87.733107,"(41.968084, -87.733107)"
3235,4299,4204 W North Ave,30,23,Humboldt Park,1,41.90996,-87.731644,1,41.90996,-87.731644,"(41.909960, -87.731644)"
3236,4992,4209 S Kedzie Ave,14,58,Brighton Park,1,41.816894,-87.704128,1,41.816894,-87.704128,"(41.816894, -87.704128)"
3237,2646,421 E Field Plaza Dr,2,32,Loop,2,41.86747,-87.618839,1,41.86747,-87.618839,"(41.867470, -87.618839)"
3238,3314,421 W Locust St,27,8,Near North Side,2,41.898769,-87.639552,1,41.898769,-87.639552,"(41.898769, -87.639552)"
3239,5292,4210 N Lincoln Ave,47,5,North Center,1,41.958015,-87.681654,1,41.958015,-87.681654,"(41.958015, -87.681654)"
3240,2162,4210 S Berkeley Ave,4,36,Oakland,1,41.817807,-87.600798,1,41.817807,-87.600798,"(41.817807, -87.600798)"
3241,6245,4211 W 26th St,22,30,South Lawndale,1,41.844058,-87.729873,1,41.844058,-87.729873,"(41.844058, -87.729873)"
3242,5397,4213 W Madison St,28,26,West Garfield Park,3,41.880531,-87.731063,1,41.880531,-87.731063,"(41.880531, -87.731063)"
3243,4408,4214 S St. Lawrence Ave,4,38,Grand Boulevard,2,41.818089,-87.611867,1,41.818089,-87.611867,"(41.818089, -87.611867)"
3244,4402,4217 W 18th St,24,29,North Lawndale,2,41.856821,-87.730636,1,41.856821,-87.730636,"(41.856821, -87.730636)"
3245,133,4220 N Richmond St,33,16,Irving Park,4,41.95806,-87.702204,0,41.95806,-87.702204,"(41.958060, -87.702204)"
3246,4438,4220 N Richmond St,33,16,Irving Park,4,41.95806,-87.702204,1,41.95806,-87.702204,"(41.958060, -87.702204)"
3247,7411,4220 N Richmond St,33,16,Irving Park,4,41.95806,-87.702204,0,41.95806,-87.702204,"(41.958060, -87.702204)"
3248,7019,4224 W 31st St,22,30,South Lawndale,1,41.836959,-87.730136,0,41.836959,-87.730136,"(41.836959, -87.730136)"
3249,2660,4224 W Foster Ave,39,13,North Park,2,41.9756,-87.734897,1,41.9756,-87.734897,"(41.975600, -87.734897)"
3250,4913,4225 S Lake Park Ave,4,36,Oakland,2,41.817881,-87.59935,1,41.817881,-87.59935,"(41.817881, -87.599350)"
3251,3281,4229 N Lincoln Ave,47,5,North Center,1,41.958586,-87.681656,1,41.958586,-87.681656,"(41.958586, -87.681656)"
3252,2926,4230 S Greenwood Ave,4,36,Oakland,1,41.817372,-87.599576,1,41.817372,-87.599576,"(41.817372, -87.599576)"
3253,5201,4233 W 65th St,13,65,West Lawn,4,41.774815,-87.728303,1,41.774815,-87.728303,"(41.774815, -87.728303)"
3254,3358,4234 W Madison St,28,26,West Garfield Park,2,41.880797,-87.731494,1,41.880797,-87.731494,"(41.880797, -87.731494)"
3255,6244,4237 W 26th St,22,30,South Lawndale,1,41.844058,-87.730896,1,41.844058,-87.730896,"(41.844058, -87.730896)"
